source_row,date,time,x,y,z,energy_j,local_x,local_y
58,43862.0,0.7317939814814814,383217.0,4353715.0,683.0,721.860300513227,4217.0,8015.0
59,43872.0,0.9487731481481482,383830.0,4353474.0,674.0,780.432330669215,4830.0,7774.0
60,43874.0,0.5628356481481481,383803.0,4353067.0,687.0,876.9316546577461,4803.0,7367.0
61,43885.0,0.5816898148148149,384205.0,4352454.0,690.0,4733.902413794048,5205.0,6754.0
62,43886.0,0.20511574074074074,384226.0,4352368.0,701.0,17599.583904073257,5226.0,6668.0
63,43886.0,0.07704861111111111,384196.0,4353036.0,684.0,127244.4416126092,5196.0,7336.0
64,43885.0,0.9450347222222222,384427.0,4352795.0,693.0,17874.867723078918,5427.0,7095.0
65,43885.0,0.9437268518518519,384372.0,4352540.0,702.0,7298.932962298601,5372.0,6840.0
66,43885.0,0.7353703703703703,383907.0,4353289.0,693.0,74667.3359682415,4907.0,7589.0
67,43885.0,0.5806134259259259,383624.0,4353426.0,700.0,221724.83001293495,4624.0,7726.0
68,43885.0,0.09482638888888889,383982.0,4353444.0,688.0,119264.28767435493,4982.0,7744.0
69,43884.0,0.22421296296296298,383871.0,4353092.0,687.0,28506.313096272854,4871.0,7392.0
70,43886.0,0.6160185185185185,384429.0,4353284.0,689.0,5727.469341606001,5429.0,7584.0
71,43886.0,0.6579282407407407,384112.0,4353175.0,699.0,93023.94102151398,5112.0,7475.0
72,43886.0,0.9381018518518518,384388.0,4352658.0,687.0,75322.36004261686,5388.0,6958.0
73,43887.0,0.37525462962962963,384109.0,4353037.0,731.0,15806.25164614998,5109.0,7337.0
74,43887.0,0.7083680555555556,384108.0,4352734.0,696.0,3340.1692579606474,5108.0,7034.0
75,43887.0,0.8471412037037037,383734.0,4353291.0,686.0,13285.763591914065,4734.0,7591.0
76,43888.0,0.10289351851851852,383912.0,4353294.0,691.0,1693.136978327792,4912.0,7594.0
77,43888.0,0.26243055555555556,383781.0,4353239.0,686.0,5412.7184136110045,4781.0,7539.0
78,43887.0,0.8471180555555555,383818.0,4353264.0,681.0,9667.879834858311,4818.0,7564.0
79,43888.0,0.10288194444444444,383766.0,4353341.0,686.0,4033.479705251506,4766.0,7641.0
80,43888.0,0.2624074074074074,383781.0,4353327.0,689.0,4666.165250656621,4781.0,7627.0
81,43888.0,0.6072685185185185,383931.0,4353364.0,683.0,2526.849186573813,4931.0,7664.0
82,43889.0,0.196875,383880.0,4353329.0,692.0,3293.457333094431,4880.0,7629.0
83,43890.0,0.0309375,384058.0,4353316.0,763.0,1242.2681131932316,5058.0,7616.0
84,43890.0,0.15505787037037036,383805.0,4353320.0,695.0,4520.36620793617,4805.0,7620.0
85,43890.0,0.2480787037037037,383960.0,4353412.0,692.0,1353.757237899268,4960.0,7712.0
86,43891.0,0.3894675925925926,383956.0,4353337.0,693.0,1472.7660777146614,4956.0,7637.0
87,43892.0,0.560775462962963,383766.0,4353139.0,692.0,308.0265111780488,4766.0,7439.0
88,43898.0,0.3162847222222222,383864.0,4353556.0,694.0,6190.119295291898,4864.0,7856.0
89,43898.0,0.13266203703703705,383488.0,4353402.0,696.0,2968.180634426388,4488.0,7702.0
90,43901.0,0.15778935185185186,383747.0,4353091.0,696.0,1164.192657978878,4747.0,7391.0
91,43901.0,0.3719560185185185,383863.0,4353321.0,685.0,620.0990748972279,4863.0,7621.0
92,43901.0,0.6568518518518518,383883.0,4353205.0,692.0,4889.117088774195,4883.0,7505.0
93,43919.0,0.6351851851851852,384090.0,4353046.0,737.0,878.4892909081918,5090.0,7346.0
94,43932.0,0.40015046296296297,383994.0,4353057.0,688.0,84.18940587430349,4994.0,7357.0
95,43932.0,0.5786574074074075,384289.0,4353237.0,695.0,219.72494969940308,5289.0,7537.0
96,43934.0,0.6945023148148148,383900.0,4352931.0,690.0,22.825386358431963,4900.0,7231.0
97,43937.0,0.14827546296296296,383985.0,4352674.0,685.0,299.1540702007513,4985.0,6974.0
98,43937.0,0.22527777777777777,384084.0,4352979.0,682.0,234.15078530642512,5084.0,7279.0
99,43938.0,0.09284722222222222,384263.0,4352655.0,687.0,1.1936388011804755,5263.0,6955.0
100,43939.0,0.10497685185185185,384069.0,4352905.0,688.0,9.394875969271583,5069.0,7205.0
101,43940.0,0.6067824074074074,384059.0,4352885.0,683.0,3.39850210084254,5059.0,7185.0
102,43940.0,0.5967476851851852,383976.0,4352862.0,648.0,65.97902773351352,4976.0,7162.0
103,43941.0,0.5387037037037037,383847.0,4353292.0,689.0,170.53017843468842,4847.0,7592.0
104,43941.0,0.8202662037037037,383963.0,4353045.0,691.0,11.422373535918403,4963.0,7345.0
105,43941.0,0.820150462962963,384029.0,4352917.0,689.0,4.289887543460247,5029.0,7217.0
106,43941.0,0.8603935185185185,384085.0,4352338.0,693.0,23.89413196577902,5085.0,6638.0
107,43941.0,0.9223958333333333,383855.0,4352768.0,687.0,20.502060082489773,4855.0,7068.0
108,43942.0,0.6760648148148148,383942.0,4352878.0,672.0,5.334767692707377,4942.0,7178.0
109,43942.0,0.6865277777777777,383861.0,4353392.0,343.0,2386.62750453739,4861.0,7692.0
110,43942.0,0.8630324074074074,384042.0,4352948.0,695.0,27317.91382019164,5042.0,7248.0
111,43943.0,0.04396990740740741,383880.0,4352929.0,682.0,13.576780617269913,4880.0,7229.0
112,43943.0,0.06875,384077.0,4353019.0,686.0,8.056638096211891,5077.0,7319.0
113,43943.0,0.3831134259259259,383827.0,4352882.0,695.0,15.455187547731512,4827.0,7182.0
114,43943.0,0.3921875,383999.0,4353113.0,694.0,56.02414427138974,4999.0,7413.0
115,43943.0,0.4777546296296296,383766.0,4352974.0,691.0,32.602555618015465,4766.0,7274.0
116,43943.0,0.508449074074074,383938.0,4353089.0,694.0,16.96495510387741,4938.0,7389.0
117,43943.0,0.6514351851851852,383812.0,4352896.0,691.0,19.988718910231277,4812.0,7196.0
118,43943.0,0.6551967592592592,384007.0,4352923.0,691.0,7.236536953990591,5007.0,7223.0
